Class name                                                   Meta tags                               
_stdlib_has_path_hostname                                    source=promise                          
_stdlib_has_path_ifconfig                                    source=promise                          
_stdlib_has_path_init                                        source=promise                          
_stdlib_has_path_ip                                          source=promise                          
_stdlib_has_path_iptables                                    source=promise                          
_stdlib_has_path_iptables_save                               source=promise                          
_stdlib_has_path_logger                                      source=promise                          
_stdlib_has_path_ls                                          source=promise                          
_stdlib_has_path_lsattr                                      source=promise                          
_stdlib_has_path_lsof                                        source=promise                          
_stdlib_has_path_netstat                                     source=promise                          
_stdlib_has_path_nologin                                     source=promise                          
_stdlib_has_path_npm                                         source=promise                          
_stdlib_has_path_perl                                        source=promise                          
_stdlib_has_path_ping                                        source=promise                          
_stdlib_has_path_pip                                         source=promise                          
_stdlib_has_path_printf                                      source=promise                          
_stdlib_has_path_realpath                                    source=promise                          
_stdlib_has_path_sed                                         source=promise                          
_stdlib_has_path_service                                     source=promise                          
_stdlib_has_path_shadow                                      source=promise                          
_stdlib_has_path_sort                                        source=promise                          
_stdlib_has_path_svc                                         source=promise                          
_stdlib_has_path_sysctl                                      source=promise                          
_stdlib_has_path_systemctl                                   source=promise                          
_stdlib_has_path_tar                                         source=promise                          
_stdlib_has_path_test                                        source=promise                          
_stdlib_has_path_tr                                          source=promise                          
_stdlib_has_path_update_alternatives                         source=promise                          
_stdlib_has_path_update_rc_d                                 source=promise                          
_stdlib_has_path_useradd                                     source=promise                          
_stdlib_has_path_wc                                          source=promise                          
_stdlib_has_path_wget                                        source=promise                          
_stdlib_path_exists_apt_cache                                source=promise                          
_stdlib_path_exists_apt_config                               source=promise                          
_stdlib_path_exists_apt_get                                  source=promise                          
_stdlib_path_exists_apt_key                                  source=promise                          
_stdlib_path_exists_awk                                      source=promise                          
_stdlib_path_exists_bc                                       source=promise                          
_stdlib_path_exists_cat                                      source=promise                          
_stdlib_path_exists_cksum                                    source=promise                          
_stdlib_path_exists_crontab                                  source=promise                          
_stdlib_path_exists_crontabs                                 source=promise                          
_stdlib_path_exists_curl                                     source=promise                          
_stdlib_path_exists_cut                                      source=promise                          
_stdlib_path_exists_dc                                       source=promise                          
_stdlib_path_exists_df                                       source=promise                          
_stdlib_path_exists_diff                                     source=promise                          
_stdlib_path_exists_dig                                      source=promise                          
_stdlib_path_exists_dmidecode                                source=promise                          
_stdlib_path_exists_domainname                               source=promise                          
_stdlib_path_exists_dpkg                                     source=promise                          
_stdlib_path_exists_echo                                     source=promise                          
_stdlib_path_exists_egrep                                    source=promise                          
_stdlib_path_exists_env                                      source=promise                          
_stdlib_path_exists_ethtool                                  source=promise                          
_stdlib_path_exists_find                                     source=promise                          
_stdlib_path_exists_free                                     source=promise                          
_stdlib_path_exists_getfacl                                  source=promise                          
_stdlib_path_exists_git                                      source=promise                          
_stdlib_path_exists_grep                                     source=promise                          
_stdlib_path_exists_groupadd                                 source=promise                          
_stdlib_path_exists_hostname                                 source=promise                          
_stdlib_path_exists_ifconfig                                 source=promise                          
_stdlib_path_exists_init                                     source=promise                          
_stdlib_path_exists_ip                                       source=promise                          
_stdlib_path_exists_iptables                                 source=promise                          
_stdlib_path_exists_iptables_save                            source=promise                          
_stdlib_path_exists_logger                                   source=promise                          
_stdlib_path_exists_ls                                       source=promise                          
_stdlib_path_exists_lsattr                                   source=promise                          
_stdlib_path_exists_lsof                                     source=promise                          
_stdlib_path_exists_netstat                                  source=promise                          
_stdlib_path_exists_nologin                                  source=promise                          
_stdlib_path_exists_npm                                      source=promise                          
_stdlib_path_exists_perl                                     source=promise                          
_stdlib_path_exists_ping                                     source=promise                          
_stdlib_path_exists_pip                                      source=promise                          
_stdlib_path_exists_printf                                   source=promise                          
_stdlib_path_exists_sed                                      source=promise                          
_stdlib_path_exists_service                                  source=promise                          
_stdlib_path_exists_shadow                                   source=promise                          
_stdlib_path_exists_sort                                     source=promise                          
_stdlib_path_exists_svc                                      source=promise                          
_stdlib_path_exists_sysctl                                   source=promise                          
_stdlib_path_exists_tar                                      source=promise                          
_stdlib_path_exists_test                                     source=promise                          
_stdlib_path_exists_tr                                       source=promise                          
_stdlib_path_exists_update_alternatives                      source=promise                          
_stdlib_path_exists_update_rc_d                              source=promise                          
_stdlib_path_exists_useradd                                  source=promise                          
_stdlib_path_exists_wc                                       source=promise                          
_stdlib_path_exists_wget                                     source=promise                          
am_policy_hub                                                source=bootstrap,deprecated,alias=policy_server,hardclass
any                                                          source=agent,hardclass                  
cfengine                                                     inventory,attribute_name=none,source=agent,hardclass
cfengine_3                                                   inventory,attribute_name=none,source=agent,hardclass
cfengine_3_6                                                 inventory,attribute_name=none,source=agent,hardclass
cfengine_3_6_5                                               inventory,attribute_name=none,source=agent,hardclass
cfengine_in_high                                             monitoring,source=environment,hardclass 
cfengine_internal_agent_email                                source=promise                          
cfengine_internal_rotate_logs                                source=promise                          
common                                                       cfe_internal,source=agent,hardclass     
community_edition                                            inventory,attribute_name=none,source=agent,hardclass
compiled_on_linux_gnu                                        source=agent,hardclass                  
cpu0_high                                                    monitoring,source=environment,hardclass 
cpu1_high                                                    monitoring,source=environment,hardclass 
cpu_high                                                     monitoring,source=environment,hardclass 
debian                                                       inventory,attribute_name=none,source=agent,hardclass
debian_derived                                               source=promise,inventory,attribute_name=none
debian_jessie                                                inventory,attribute_name=none,source=agent,hardclass
dev_theofilis                                                inventory,attribute_name=none,source=agent,derived-from=sys.fqhost,hardclass
disable_inventory_LLDP                                       source=promise                          
disable_inventory_cmdb                                       source=promise                          
diskfree_high                                                monitoring,source=environment,hardclass 
entropy_misc_in_low                                          monitoring,source=environment,hardclass 
entropy_misc_out_low                                         monitoring,source=environment,hardclass 
entropy_postgresql_in_low                                    monitoring,source=environment,hardclass 
entropy_postgresql_out_low                                   monitoring,source=environment,hardclass 
fe80__217_c4ff_fe1a_61bc                                     inventory,attribute_name=none,source=agent,hardclass
fe80__dc8a_40ff_fe53_a960                                    inventory,attribute_name=none,source=agent,hardclass
has_lsb_release                                              source=promise                          
has_os_release                                               source=promise                          
has_proc_1_cmdline                                           source=promise                          
i686                                                         source=agent,derived-from=sys.machine,hardclass
ipp_in_high                                                  monitoring,source=environment,hardclass 
ipp_out_high                                                 monitoring,source=environment,hardclass 
ipv4_10                                                      inventory,attribute_name=none,source=agent,hardclass
ipv4_10_0                                                    inventory,attribute_name=none,source=agent,hardclass
ipv4_10_0_3                                                  inventory,attribute_name=none,source=agent,hardclass
ipv4_10_0_3_1                                                inventory,attribute_name=none,source=agent,hardclass
ipv4_127                                                     inventory,attribute_name=none,source=agent,hardclass
ipv4_127_0                                                   inventory,attribute_name=none,source=agent,hardclass
ipv4_127_0_0                                                 inventory,attribute_name=none,source=agent,hardclass
ipv4_127_0_0_1                                               inventory,attribute_name=none,source=agent,hardclass
ipv4_172                                                     inventory,attribute_name=none,source=agent,hardclass
ipv4_172_30                                                  inventory,attribute_name=none,source=agent,hardclass
ipv4_172_30_0                                                inventory,attribute_name=none,source=agent,hardclass
ipv4_172_30_0_57                                             inventory,attribute_name=none,source=agent,hardclass
ipv4_192                                                     inventory,attribute_name=none,source=agent,hardclass
ipv4_192_168                                                 inventory,attribute_name=none,source=agent,hardclass
ipv4_192_168_122                                             inventory,attribute_name=none,source=agent,hardclass
ipv4_192_168_122_1                                           inventory,attribute_name=none,source=agent,hardclass
linux                                                        inventory,attribute_name=none,source=agent,derived-from=sys.class,hardclass
linux_3_13_0_46_generic                                      source=agent,derived-from=sys.sysname,derived-from=sys.release,hardclass
linux_i686                                                   source=agent,derived-from=sys.sysname,derived-from=sys.machine,hardclass
linux_i686_3_13_0_46_generic                                 source=agent,derived-from=sys.sysname,derived-from=sys.machine,derived-from=sys.release,hardclass
linux_i686_3_13_0_46_generic__79_Ubuntu_SMP_Tue_Mar_10_20_08_14_UTC_2015 source=agent,derived-from=sys.long_arch,hardclass
loadavg_high                                                 monitoring,source=environment,hardclass 
localhost                                                    inventory,attribute_name=none,source=agent,hardclass
mac_00_17_c4_1a_61_bc                                        inventory,attribute_name=none,source=agent,hardclass
mac_1a_57_ec_dc_9c_94                                        inventory,attribute_name=none,source=agent,hardclass
mac_de_8a_40_53_a9_60                                        inventory,attribute_name=none,source=agent,hardclass
mysql_in_high                                                monitoring,source=environment,hardclass 
net_iface_lo                                                 source=agent,hardclass                  
net_iface_lxcbr0                                             source=agent,hardclass                  
net_iface_virbr0                                             source=agent,hardclass                  
net_iface_wlan0                                              source=agent,hardclass                  
os_release_has_id                                            source=promise                          
os_release_has_version                                       source=promise                          
otherprocs_high_normal                                       monitoring,source=environment,hardclass 
policy_server                                                inventory,attribute_name=CFEngine roles,source=bootstrap,hardclass
rootprocs_high_normal                                        monitoring,source=environment,hardclass 
specific_linux_os                                            source=promise                          
ssh_in_high                                                  monitoring,source=environment,hardclass 
syslog_low_dev1                                              monitoring,source=environment,hardclass 
ubuntu                                                       inventory,attribute_name=none,source=agent,hardclass
ubuntu_14                                                    inventory,attribute_name=none,source=agent,derived-from=sys.flavor,hardclass
ubuntu_14_4                                                  inventory,attribute_name=none,source=agent,hardclass
users_high                                                   monitoring,source=environment,hardclass 
www_in_high                                                  monitoring,source=environment,hardclass 
www_out_high_ldt                                             source=persistent                       
www_out_low                                                  monitoring,source=environment,hardclass 
wwws_out_low                                                 monitoring,source=environment,hardclass 
